co2_value,Category
367.82,Satisfactory
367.6,Satisfactory
367.63,Satisfactory
367.76,Satisfactory
367.71,Satisfactory
367.72,Satisfactory
368.08,Satisfactory
368,Satisfactory
368.02,Satisfactory
367.96,Satisfactory
368.09,Satisfactory
367.98,Satisfactory
367.87,Satisfactory
368.23,Satisfactory
367.97,Satisfactory
368.29,Satisfactory
368.27,Satisfactory
368.85,Satisfactory
368.57,Satisfactory
369.16,Satisfactory
368.42,Satisfactory
368.59,Satisfactory
368.76,Satisfactory
369.86,Satisfactory
369.32,Satisfactory
368.34,Satisfactory
368.3,Satisfactory
368.52,Satisfactory
368.31,Satisfactory
368.69,Satisfactory
368.65,Satisfactory
368.82,Satisfactory
368.71,Satisfactory
368.99,Satisfactory
370.57,Satisfactory
369.52,Satisfactory
369.38,Satisfactory
369.12,Satisfactory
369.09,Satisfactory
370.05,Satisfactory
370.02,Satisfactory
370.39,Satisfactory
369.7,Satisfactory
369.66,Satisfactory
369.33,Satisfactory
369.49,Satisfactory
369.56,Satisfactory
369.5,Satisfactory
369.56,Satisfactory
369.48,Satisfactory
369.6,Satisfactory
369.51,Satisfactory
369.81,Satisfactory
369.77,Satisfactory
369.78,Satisfactory
369.83,Satisfactory
369.72,Satisfactory
369.9,Satisfactory
369.98,Satisfactory
369.64,Satisfactory
370.16,Satisfactory
369.78,Satisfactory
369.75,Satisfactory
369.79,Satisfactory
370.13,Satisfactory
370.82,Satisfactory
370.3,Satisfactory
370.04,Satisfactory
370.37,Satisfactory
370.13,Satisfactory
370.16,Satisfactory
370.11,Satisfactory
370.16,Satisfactory
370.25,Satisfactory
370.17,Satisfactory
371.09,Satisfactory
371.55,Satisfactory
370.33,Satisfactory
370.42,Satisfactory
370.65,Satisfactory
370.98,Satisfactory
370.11,Satisfactory
370.14,Satisfactory
370.22,Satisfactory
369.93,Satisfactory
369.95,Satisfactory
369.93,Satisfactory
372.18,Satisfactory
371.31,Satisfactory
371.55,Satisfactory
371.27,Satisfactory
371.77,Satisfactory
371.79,Satisfactory
371.2,Satisfactory
370.95,Satisfactory
371.02,Satisfactory
372.52,Satisfactory
372.08,Satisfactory
372.38,Satisfactory
371.98,Satisfactory
371.47,Satisfactory
370.52,Satisfactory
370.62,Satisfactory
371.53,Satisfactory
371.64,Satisfactory
371.55,Satisfactory
371.96,Satisfactory
372.05,Satisfactory
372.12,Satisfactory
372.47,Satisfactory
371.66,Satisfactory
371.63,Satisfactory
371.34,Satisfactory
371.16,Satisfactory
371.56,Satisfactory
371.59,Satisfactory
371.43,Satisfactory
370.9,Satisfactory
370.76,Satisfactory
371.11,Satisfactory
372.05,Satisfactory
371.84,Satisfactory
372.35,Satisfactory
373.07,Satisfactory
372.56,Satisfactory
372.05,Satisfactory
371.57,Satisfactory
372.44,Satisfactory
372.57,Satisfactory
372.35,Satisfactory
372.48,Satisfactory
372.1,Satisfactory
372.31,Satisfactory
372.85,Satisfactory
372.94,Satisfactory
372.52,Satisfactory
372.74,Satisfactory
372.79,Satisfactory
372.43,Satisfactory
372.47,Satisfactory
372.39,Satisfactory
372.55,Satisfactory
